"epgu_id";"ku_id";"reg_id";"create_date";"update_date"
"76969628";"43000001094";"61372";"2014-11-25 17:15:34.916+03";"2014-11-25 18:09:01.575+03"
"76982021";"43000001101";"61374";"2014-11-25 18:56:31.678+03";"2014-11-25 20:25:13.979+03"
"76991547";"43000001104";"61376";"2014-11-25 20:27:41.699+03";"2014-11-25 20:41:04.883+03"
"76993209";"43000001105";"61377";"2014-11-25 20:43:15.884+03";"2014-11-25 20:47:35.265+03"
"77039735";"43000001113";"61384";"2014-11-26 11:12:23.847+03";"2014-11-26 11:17:40.455+03"
"77040217";"43000001114";"61383";"2014-11-26 11:15:13.155+03";"2014-11-26 11:43:00.598+03"
"77048627";"43000001130";"61388";"2014-11-26 12:23:12.194+03";"2014-11-26 13:00:29.132+03"
"77055662";"43000001139";"61392";"2014-11-26 13:26:22.212+03";"2014-11-26 13:33:44.243+03"
"78906248";"43000003081";"121992";"2014-12-18 18:35:20.399+03";"2014-12-23 16:13:01.522+03"
"78912528";"43000003109";"121995";"2014-12-18 20:09:20.707+03";"2018-03-22 10:36:37.359+03"